Sample_Name	Ligation_ID	BioProject accession	Organism	tissue	geographic location	sex	isolate	Lat	Lon	Anem_ID	Collection_Date	Size	Size_type	Tail_color	dev_stage	Collector	Notes
APCL13_236_L0269	L0269	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.874448	124.710622	131	2013-05-27	9.2	FL	YP	adult	MLP	
APCL13_248_L0281	L0281	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.874189	124.710685	136	2013-05-27	4.7	FL	YP	adult	MLP	
APCL13_266_L0299	L0299	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.868842	124.716458	148	2013-05-28	3.2	FL	YR	NA	MLP	
APCL13_271_L0304	L0304	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.868928	124.716436	152	2013-05-28	6.4	FL	O	adult	MLP	
APCL13_272_L0305	L0305	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.868928	124.716436	152	2013-05-28	3.7	FL	YR	NA	MLP	
APCL13_277_L0310	L0310	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871861	124.713779	157	2013-05-28	8.8	FL	O	adult	MLP	
APCL13_280_L0313	L0313	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871826	124.713835	159	2013-05-28	5.1	FL	YR	NA	MLP	
APCL13_301_L0332	L0332	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871349	124.714184	172	2013-05-28	6.7	FL	YP	adult	MLP	
APCL13_305_L0336	L0336	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871358	124.714182	175	2013-05-28	7.6	FL	O	adult	MLP	
APCL13_306_L0337	L0337	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871358	124.714182	175	2013-05-28	4	FL	YR	NA	MLP	
APCL13_324_L0351	L0351	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.854981	124.727633	190	2013-05-29	5.7	FL	YP	adult	MLP	
APCL13_333_L0357	L0357	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855341	124.726871	195	2013-05-29	6.9	FL	YP	adult	MLP	
APCL13_334_L0358	L0358	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855401	124.726892	196	2013-05-29	8.9	FL	O	adult	MLP	
APCL13_340_L0361	L0361	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855982	124.726333	200	2013-05-29	7.9	FL	YP	adult	MLP	
APCL13_348_L0367	L0367	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.857512	124.724867	204	2013-05-29	9.3	FL	YP	adult	MLP	
APCL13_364_L0378	L0378	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856231	124.725936	213	2013-05-29	2.4	FL	YR	NA	MLP	
APCL13_367_L0381	L0381	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85624	124.725881	214	2013-05-29	6.8	FL	YP	adult	MLP	#367 sort of looks sampled already
APCL13_369_L0383	L0383	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856256	124.725801	215	2013-05-29	7.8	FL	O	adult	MLP	
APCL13_384_L0395	L0395	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856657	124.725367	220	2013-05-29	9	FL	O	adult	MLP	
APCL13_385_L0396	L0396	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869028	124.716467	222	2013-05-30	7.7	FL	YP	adult	MLP	
APCL13_389_L0399	L0399	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869036	124.716474	224	2013-05-30	5	FL	W	NA	MLP	
APCL13_398_L0404	L0404	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869091	124.716376	230	2013-05-30	7.8	FL	O	adult	MLP	
APCL13_087_L0423	L0423	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743478	124.786654	50	2013-05-24	9.8	FL	O	adult	MLP	
APCL13_089_L0424	L0424	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744014	124.786298	51	2013-05-24	7.9	FL	O	adult	MLP	
APCL13_130_L0432	L0432	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798464	124.76871	71	2013-05-25	6.8	FL	O	adult	MLP	
APCL13_192_L0442	L0442	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873778	124.711248	106	2013-05-27	9.2	FL	YP	adult	MLP	
APCL13_205_L0443	L0443	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873304	124.712004	113	2013-05-27	10.3	FL	YP	adult	MLP	
APCL13_207_L0444	L0444	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873354	124.712082	114	2013-05-27	8.7	FL	YP	adult	MLP	
APCL13_001_L0447	L0447	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744935	124.785972	NA	2013-05-22	9.8	FL	YE	adult	MLP	
APCL13_002_L0448	L0448	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744929	124.785858	2	2013-05-22	4.8	FL	Y	NA	MLP	
APCL13_003_L0449	L0449	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744929	124.785858	2	2013-05-22	9.6	FL	Y	adult	MLP	
APCL13_426_L0450	L0450	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.86983	124.715916	250	2013-05-30	5.9	FL	W	NA	MLP	
APCL13_005_L0455	L0455	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744983	124.785767	4	2013-05-22	7.8	FL	Y	adult	MLP	
APCL13_007_L0457	L0457	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744034	124.786401	5	2013-05-22	7	FL		NA	MLP	2016-01-04: calling an adult based on size, no tail shape provided, MRS
APCL13_008_L0458	L0458	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744034	124.786401	5	2013-05-22	4	FL		NA	MLP	2016-01-04: calling a larva based on size, no tail shape provided, MRS
APCL13_010_L0460	L0460	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744081	124.786424	6	2013-05-22	5	FL	Y	NA	MLP	
APCL13_012_L0461	L0461	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744039	124.786303	7	2013-05-22	10.9	FL	O	adult	MLP	
APCL13_011_L0462	L0462	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744039	124.786303	7	2013-05-22	11.7	FL	O	adult	MLP	
APCL13_013_L0463	L0463	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743813	124.786508	8	2013-05-22	10.2	FL	O	adult	MLP	
APCL13_014_L0464	L0464	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743813	124.786508	8	2013-05-22	11.2	FL	Y	adult	MLP	
APCL13_461_L0466	L0466	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873783	124.710859	NA	2013-05-31	10.4	FL	YP	adult	MLP	fish were not close to any visible anem
APCL13_466_L0467	L0467	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873784	124.711102	266	2013-05-31	5.8	FL	YP	adult	MLP	
APCL13_472_L0468	L0468	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.872879	124.711836	270	2013-05-31	8.9	FL	O	adult	MLP	
APCL13_483_L0470	L0470	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873622	124.711139	275	2013-05-31	4.3	FL	YR	NA	MLP	
APCL13_486_L0471	L0471	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873114	124.711957	276	2013-05-31	10.4	FL	O	adult	MLP	
APCL13_487_L0472	L0472	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873114	124.711957	276	2013-05-31	6.7	FL	YP	adult	MLP	
APCL13_491_L0473	L0473	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873109	124.712177	278	2013-05-31	7.7	FL	YP	adult	MLP	
APCL13_493_L0474	L0474	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873112	124.712193	279	2013-05-31	7.4	FL	O	adult	MLP	
APCL13_498_L0478	L0478	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873184	124.712199	281	2013-05-31	7.6	FL	YP	adult	MLP	
APCL13_023_L0483	L0483	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743301	124.786839	12	2013-05-22	11	FL	Y	adult	MLP	
APCL13_027_L0485	L0485	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764475	124.785415	14	2013-05-23	9.4	FL	O	adult	MLP	
APCL13_028_L0486	L0486	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764459	124.785415	16	2013-05-23	9	FL	Y	adult	MLP	
APCL13_523_L0487	L0487	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.831177	124.750661	291	2013-06-02	9.2	FL	YP	adult	MLP	
APCL13_529_L0488	L0488	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.836194	124.746708	293	2013-06-02	7.1	FL	O	adult	MLP	sizes measured with grid paper and converted later to cm
APCL14_308_L0597	L0597	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.635041	124.776216	569	2014-06-22	6.3	FL	Y	NA	MRS	
APCL14_318_L0602	L0602	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.635236	124.776108	576	2014-06-22	8	FL	O	adult	MRS	
APCL14_330_L0606	L0606	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871491	124.714068	633	2014-06-24	8.8	FL	YP	adult	MRS	
APCL14_545_L0622	L0622	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.87441	124.710673	726	2014-07-02	8.4	FL	O	adult	MRS	
APCL14_551_L0623	L0623	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.87434	124.710842	729	2014-07-02	8.1	FL	O	adult	MRS	
APCL14_273_L0630	L0630	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.6345	124.776734	546	2014-06-22	7.5	FL	Y	adult	MRS	
APCL14_294_L0632	L0632	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.634653	124.776364	560	2014-06-22	4.3	FL	YR	NA	MRS	
APCL14_326_L0634	L0634	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871511	124.714248	631	2014-06-24	7.9	FL	O	adult	MRS	
APCL14_340_L0636	L0636	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871502	124.71393	642	2014-06-24	3.7	FL	YR	NA	MRS	
APCL14_469_L0637	L0637	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855977	124.726304	690	2014-06-26	8.5	FL	YP	adult	MRS	
APCL14_471_L0638	L0638	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856004	124.726365	200	2014-06-26	6.4	FL	O	adult	MRS	
APCL13_281_L0639	L0639	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871792	124.713867	160	2013-05-28	3	FL	bW	NA	MLP	
APCL13_299_L0640	L0640	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871349	124.714195	171	2013-05-28	2.9	FL	YR	NA	MLP	
APCL13_327_L0642	L0642	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855057	124.727391	192	2013-05-29	3.9	FL	YR	NA	MLP	
APCL13_361_L0644	L0644	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.859921	124.722831	211	2013-05-29	3.4	FL	bW	NA	MLP	
APCL13_363_L0645	L0645	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856231	124.725936	213	2013-05-29	6.9	FL	YP	adult	MLP	
APCL13_394_L0647	L0647	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869125	124.716392	227	2013-05-30	7.6	FL	O	adult	MLP	
APCL13_395_L0648	L0648	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869125	124.716392	228	2013-05-30	6.4	FL	YP	adult	MLP	
APCL13_400_L0649	L0649	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869159	124.716338	232	2013-05-30	9	FL	O	adult	MLP	#400 had an all orange tail with a clear trailing edge
APCL13_402_L0650	L0650	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869159	124.716338	232	2013-05-30	9.2	FL	YP	adult	MLP	
APCL14_503_L0746	L0746	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798713	124.768576	701	2014-06-29	4.8	FL	YR	NA	MRS	
APCL14_501_L0766	L0766	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809252	124.765348	699	2014-06-28	5.6	FL	Y	NA	MRS	
APCL14_522_L0767	L0767	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769081	124.783681	712	2014-06-29	3.8	FL	YR	NA	MRS	
APCL14_519_L0811	L0811	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768829	124.783754	711	2014-06-29	3.8	FL	YR	NA	MRS	
APCL14_379_L0824	L0824	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869908	124.715812	599	2014-06-23	9	FL	Y	adult	MRS	2015-09-01: failed extraction
APCL14_466_L0828	L0828	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855564	124.726863	NA	2014-06-26	5.6	FL	YR	NA	MRS	AnemID was marked as "?". It was a very busy dive and Michelle missed what number it was. Col1 was marked as "R" originally.
APCL14_477_L0829	L0829	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855655	124.72616	691	2014-06-26	4.6	FL	YR	NA	MRS	AND ALSO A SNAKE, I THINK (actually a goatfish)
APCL14_489_L0830	L0830	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.857641	124.725062	674	2014-06-26	4.3	FL	WR	NA	MRS	
APCL13_043_L0831	L0831	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756597	124.78595	25	2013-05-23	7.6	FL	YP	adult	MLP	
APCL13_141_L0832	L0832	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.652591	124.783262	77	2013-05-26	3.3	FL	Y	NA	MLP	
APCL13_195_L0833	L0833	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873778	124.711248	106	2013-05-27	5.7	FL	YR	NA	MLP	
APCL13_235_L0834	L0834	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.874435	124.710719	129	2013-05-27	2.1	FL	YR	NA	MLP	
APCL13_328_L0835	L0835	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855057	124.727391	192	2013-05-29	6.1	FL	YP	adult	MLP	
APCL13_347_L0836	L0836	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.857512	124.724867	204	2013-05-29	6.8	FL	O	adult	MLP	
APCL13_352_L0837	L0837	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.858381	124.7244	206	2013-05-29	6.7	FL	YP	adult	MLP	
APCL13_353_L0838	L0838	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.858381	124.7244	206	2013-05-29	3.6	FL	YR	NA	MLP	
APCL13_357_L0839	L0839	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85842	124.724361	208	2013-05-29	3	FL	YR	NA	MLP	
APCL13_383_L0840	L0840	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85673	124.725313	221	2013-05-29	6.1	FL	W	NA	MLP	
APCL13_393_L0841	L0841	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.86913	124.716418	226	2013-05-30	4.1	FL	YR	NA	MLP	
APCL13_411_L0842	L0842	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869481	124.716266	240	2013-05-30	7.9	FL	YR	adult	MLP	
APCL13_142_L0848	L0848	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.652782	124.783648	79	2013-05-26	4.2	FL	W	NA	MLP	
APCL13_094_L0849	L0849	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.806378	124.766045	53	2013-05-25	4.1	FL	W	NA	MLP	
APCL13_442_L0850	L0850	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873895	124.710503	254	2013-05-31	2.7	FL	YR	NA	MLP	
APCL13_449_L0851	L0851	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873849	124.71059	256	2013-05-31	4.5	FL	YR	NA	MLP	
APCL13_450_L0856	L0856	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873751	124.710786	257	2013-05-31	7.7	FL	O	adult	MLP	
APCL13_454_L0877	L0877	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873714	124.710803	259	2013-05-31	2.5	FL	W	NA	MLP	
APCL13_048_L0881	L0881	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756284	124.785799	29	2013-05-23	4	FL	W	NA	MLP	
APCL14_507_L0938	L0938	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798448	124.768651	702	2014-06-29	8.4	FL	Y	adult	MRS	
APCL14_527_L0939	L0939	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769186	124.783696	715	2014-06-29	4.2	FL	WR	NA	MRS	
APCL14_530_L0940	L0940	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769002	124.783737	716	2014-06-29	6.4	FL	Y	NA	MRS	
APCL14_534_L0941	L0941	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.755992	124.785637	720	2014-07-01	4.1	FL	WR	NA	MRS	
APCL14_442_L0966	L0966	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871634	124.714112	667	2014-06-24	5	FL	WR	NA	MRS	
APCL14_496_L0968	L0968	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809147	124.765319	697	2014-06-28	9.1	FL	O	adult	MRS	
APCL14_500_L0969	L0969	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809252	124.765348	699	2014-06-28	8.8	FL	Y	adult	MRS	
APCL14_526_L0970	L0970	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769317	124.783583	714	2014-06-29	8.5	FL	YP	adult	MRS	
APCL14_528_L0971	L0971	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769154	124.783695	NA	2014-06-29	9	FL	O	adult	MRS	
APCL14_532_L0972	L0972	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756173	124.785643	718	2014-07-01	3.8	FL	WR	NA	MRS	
APCL13_611_L1006	L1006	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.870304	124.715302	335	2013-06-04	3.4	FL	WP	NA	MLP	
APCL13_663_L1008	L1008	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.861288	124.721601	371	2013-06-04	4	FL	W	NA	MLP	
APCL13_664_L1010	L1010	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.861284	124.721638	372	2013-06-04	3	FL	W	NA	MLP	
APCL14_510_L1011	L1011	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.76727	124.784808	705	2014-06-29	4.4	FL	WR	NA	MRS	
APCL14_497_L1012	L1012	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809147	124.765319	697	2014-06-28	8.6	FL	O	adult	MRS	
APCL13_187_L1023	L1023	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.87405	124.711052	105	2013-05-27	10.1	FL	O	adult	MLP	
APCL13_207_L1024	L1024	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873354	124.712082	114	2013-05-27	8.7	FL	YP	adult	MLP	
APCL13_032_L1025	L1025	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764276	124.785345	18	2013-05-23	3.7	FL	YR	NA	MLP	
